Başlık,Not,URL,Etiketler,Yorum
,,,,
BKM Mutfak Comedy Club Beşiktaş,,https://www.google.com/maps/place/BKM+Mutfak+Comedy+Club+Be%C5%9Fikta%C5%9F/data=!4m2!3m1!1s0x14cab7a216a95fed:0xa6cf3a96b2543709,,
Tüyap Fuar ve Kongre Merkezi,,https://www.google.com/maps/place/T%C3%BCyap+Fuar+ve+Kongre+Merkezi/data=!4m2!3m1!1s0x14b55ee2d0fd06bf:0x709578caeb4c6f62,,
İstanbul Fuar Merkezi,,https://www.google.com/maps/place/%C4%B0stanbul+Fuar+Merkezi/data=!4m2!3m1!1s0x14caa37998cc3537:0xee53d7b87dde799d,,
Moda Sahnesi,,https://www.google.com/maps/place/Moda+Sahnesi/data=!4m2!3m1!1s0x14cab86682a8de6b:0x42b2727a24846638,,
Tech Istanbul | Şişhane,,https://www.google.com/maps/place/Tech+Istanbul+%7C+%C5%9Ei%C5%9Fhane/data=!4m2!3m1!1s0x14cab9b153f60e9d:0x1609c6e2b7154d9f,,
Atatürk Kültür Merkezi,,https://www.google.com/maps/place/Atat%C3%BCrk+K%C3%BClt%C3%BCr+Merkezi/data=!4m2!3m1!1s0x14cab76534821173:0x4921da7bada2608,,
Haliç Kongre Merkezi,,https://www.google.com/maps/place/Hali%C3%A7+Kongre+Merkezi/data=!4m2!3m1!1s0x14cab0a92c416b21:0x966934e580a63bc1,,
Postane,,https://www.google.com/maps/place/Postane/data=!4m2!3m1!1s0x14cab93f8c4e3afb:0x91e62f166c2ede38,,
UNIQ İstanbul,,https://www.google.com/maps/place/UNIQ+%C4%B0stanbul/data=!4m2!3m1!1s0x14cab5cfaca3648f:0xe39c0dc6b9606e32,,
ENKA Sanat,,https://www.google.com/maps/place/ENKA+Sanat/data=!4m2!3m1!1s0x14cab58dc44c5ee3:0x754235eb27e8acf7,,
Yapı Kredi bomontiada,,https://www.google.com/maps/place/Yap%C4%B1+Kredi+bomontiada/data=!4m2!3m1!1s0x14cab7175e22bf43:0x73674c40205aec4d,,
Babylon,,https://www.google.com/maps/place/Babylon/data=!4m2!3m1!1s0x14cab9ea3a1aaaab:0xc7beab15af28fb1f,,
Bilgiyi Ticarileştirme Merkezi,,https://www.google.com/maps/place/Bilgiyi+Ticarile%C5%9Ftirme+Merkezi/data=!4m2!3m1!1s0x14cab9ec0e422ee9:0xe48bbf2454159e09,,
