Başlık,Not,URL,Etiketler,Yorum
,,,,
Yalı Kütüphanesi,,https://www.google.com/maps/place/Yal%C4%B1+K%C3%BCt%C3%BCphanesi/data=!4m2!3m1!1s0x14cacbbdf1768d7b:0x7178912f8e7d5a77,,
Le Petit Pera Cafe,,https://www.google.com/maps/place/Le+Petit+Pera+Cafe/data=!4m2!3m1!1s0x14cab93b3d02d025:0x5bb2dad302717b89,,
İstanbul Modern Sanat Müzesi,,https://www.google.com/maps/place/%C4%B0stanbul+Modern+Sanat+M%C3%BCzesi/data=!4m2!3m1!1s0x14cab9d90f6ec2c3:0x3bae486f6c10e89d,,
Beylerbeyi Sarayı,,https://www.google.com/maps/place/Beylerbeyi+Saray%C4%B1/data=!4m2!3m1!1s0x14cab7da02210c0f:0xaa4ea6c2e70ee70a,,
İBB Üsküdar Kent Lokantası,,https://www.google.com/maps/place/%C4%B0BB+%C3%9Csk%C3%BCdar+Kent+Lokantas%C4%B1/data=!4m2!3m1!1s0x14cac92229d06199:0x6517615dc80d4c80,,
Hasan Usta Kebap,,https://www.google.com/maps/place/Hasan+Usta+Kebap/data=!4m2!3m1!1s0x14cab816ade7626b:0xc8a3b149b27baa7,,
Tarantula Pub Roof,,https://www.google.com/maps/place/Tarantula+Pub+Roof/data=!4m2!3m1!1s0x14cab9fa69d825a7:0xcf33740f35854e4c,,
Olimpik Gokart,,https://www.google.com/maps/place/Olimpik+Gokart/data=!4m2!3m1!1s0x14cabacca657668b:0x9e33b190ef357bf9,,
Büyükada,,https://www.google.com/maps/place/B%C3%BCy%C3%BCkada/data=!4m2!3m1!1s0x14cac1ec02ef7aa3:0xbf751a1f10f89004,,
Siena Coffee,,https://www.google.com/maps/place/Siena+Coffee/data=!4m2!3m1!1s0x14cac71ee1ca2555:0xa37616c212e8ef9f,,
Rahmi M. Koç Müzesi,,https://www.google.com/maps/place/Rahmi+M.+Ko%C3%A7+M%C3%BCzesi/data=!4m2!3m1!1s0x14cab0abafe5d4c1:0x44361327b10bbc5e,,
Nuba İstanbul,,https://www.google.com/maps/place/Nuba+%C4%B0stanbul/data=!4m2!3m1!1s0x14cacde9004ed093:0x806c4e56a621bd93,,
Leticia Üsküdar,,https://www.google.com/maps/place/Leticia+%C3%9Csk%C3%BCdar/data=!4m2!3m1!1s0x14cab74fc31824e9:0xdd6531a81488d0c3,,
İstanbul Kelebek Çiftliği,,https://www.google.com/maps/place/%C4%B0stanbul+Kelebek+%C3%87iftli%C4%9Fi/data=!4m2!3m1!1s0x14cacb6dc5a1e271:0xe82279aef9b486a0,,
Frankenstein Korku Evi,,https://www.google.com/maps/place/Frankenstein+Korku+Evi/data=!4m2!3m1!1s0x14cab86d9bc32e45:0xf8ff81dc45fd889,,
İBB Rumeli Kavağı Sahil Parkı,,https://www.google.com/maps/place/%C4%B0BB+Rumeli+Kava%C4%9F%C4%B1+Sahil+Park%C4%B1/data=!4m2!3m1!1s0x409fdf4b0ff65711:0xe46dbfb0c3c25d31,,
Milli Parklar Kuş Gözlem Kulesi,,https://www.google.com/maps/place/Milli+Parklar+Ku%C5%9F+G%C3%B6zlem+Kulesi/data=!4m2!3m1!1s0x409fe080d4f87bc1:0x3c13dcd5706f99c1,,
Yeniköy Kahvesi,,https://www.google.com/maps/place/Yenik%C3%B6y+Kahvesi/data=!4m2!3m1!1s0x14caca8b2847b409:0xa7bc8603e1f5542a,,
Mikel Coffee Tarabya,,https://www.google.com/maps/place/Mikel+Coffee+Tarabya/data=!4m2!3m1!1s0x14cacb954f8f738d:0x7acc2db547966ba0,,
