Başlık,Not,URL,Etiketler,Yorum
,,,,
Bosphorus View Point,,https://www.google.com/maps/place/Bosphorus+View+Point/data=!4m2!3m1!1s0x14cab7ab496bd47f:0x87074b8644f1494d,,
Bridge view,,https://www.google.com/maps/place/Bridge+view/data=!4m2!3m1!1s0x14cacb00552a9a07:0x6dd32d75ccd92838,,
Belgrad Ormanı | Gişe,,https://www.google.com/maps/place/Belgrad+Orman%C4%B1+%7C+Gi%C5%9Fe/data=!4m2!3m1!1s0x409fe27791746cef:0x1d7ae639f587ed19,,
Seyir Köprüsü,,https://www.google.com/maps/place/Seyir+K%C3%B6pr%C3%BCs%C3%BC/data=!4m2!3m1!1s0x14cab7ebd70c2601:0xd7b1a1f8d916c0b0,,
Müq oturaklar,,https://www.google.com/maps/place/M%C3%BCq+oturaklar/data=!4m2!3m1!1s0x14cab7002774e9d3:0x749a67a74790f6f4,,
Elmasburnu kadınlar Plajı,,https://www.google.com/maps/place/Elmasburnu+kad%C4%B1nlar+Plaj%C4%B1/data=!4m2!3m1!1s0x409fdc8c056d253d:0xc04bae0c33d75fae,,
Bahçeşehir Hayat Park,,https://www.google.com/maps/place/Bah%C3%A7e%C5%9Fehir+Hayat+Park/data=!4m2!3m1!1s0x14b55925a283a363:0xc556f509e26e472b,,
İşaretli yer,,"https://www.google.com/maps/search/41.0402165,29.0055421",,
Seven Tepesi Manzarası,,https://www.google.com/maps/place/Seven+Tepesi+Manzaras%C4%B1/data=!4m2!3m1!1s0x14cac157a725958f:0xf35e7c8db858f9e6,,
İBB İsmet İnönü Parkı,,https://www.google.com/maps/place/%C4%B0BB+%C4%B0smet+%C4%B0n%C3%B6n%C3%BC+Park%C4%B1/data=!4m2!3m1!1s0x14cab775b3d1be71:0x633e6f53f2642349,,
Florya Sahil,,https://www.google.com/maps/place/Florya+Sahil/data=!4m2!3m1!1s0x14caa3fac03cea99:0xa5f3e2e1f5b48996,,
İBB Baruthane Millet Bahçesi Parkı, - minik futbol sahası,https://www.google.com/maps/place/%C4%B0BB+Baruthane+Millet+Bah%C3%A7esi+Park%C4%B1/data=!4m2!3m1!1s0x14caa3f255549289:0x6abae966da1c4613,,
Cumhuriyet parkı,,https://www.google.com/maps/place/Cumhuriyet+park%C4%B1/data=!4m2!3m1!1s0x14caa7c8da8eb173:0xf8ab9e650d23e17d,,
İBB Taksim Gezi Parkı,,https://www.google.com/maps/place/%C4%B0BB+Taksim+Gezi+Park%C4%B1/data=!4m2!3m1!1s0x14cab76ff797ca69:0x1d95d08d474d6487,,
Tuzla Belediyesi Şelale Eğitim Parkı,,https://www.google.com/maps/place/Tuzla+Belediyesi+%C5%9Eelale+E%C4%9Fitim+Park%C4%B1/data=!4m2!3m1!1s0x14cadc06b4b22d49:0x64459699441399e0,,
BEYKOZ KORUSU,,https://www.google.com/maps/place/BEYKOZ+KORUSU/data=!4m2!3m1!1s0x14cacb241c26e7b3:0xb39690667dbe9424,,
İBB Küçük Çamlıca Korusu,,https://www.google.com/maps/place/%C4%B0BB+K%C3%BC%C3%A7%C3%BCk+%C3%87aml%C4%B1ca+Korusu/data=!4m2!3m1!1s0x14cac81247bd49fb:0x36a610937a6c5acc,,
Avcılar Sahil,,https://www.google.com/maps/place/Avc%C4%B1lar+Sahil/data=!4m2!3m1!1s0x14caa1cabf7b9ffd:0xc1d3654c882bfd43,,
Gürpınar Sahil,,https://www.google.com/maps/place/G%C3%BCrp%C4%B1nar+Sahil/data=!4m2!3m1!1s0x14b560bb507ab3e3:0x8cc74019bcf40f30,,
Beylikdüzü Yaşam Vadisi,,https://www.google.com/maps/place/Beylikd%C3%BCz%C3%BC+Ya%C5%9Fam+Vadisi/data=!4m2!3m1!1s0x14b55fafa0a48753:0x7dd265c2fdce6808,,
JAPON BAHÇESI,,https://www.google.com/maps/place/JAPON+BAH%C3%87ESI/data=!4m2!3m1!1s0x14b55fc1f4daddaf:0xc2e3acae664a731,,
Büyükçekmece Plajı,,https://www.google.com/maps/place/B%C3%BCy%C3%BCk%C3%A7ekmece+Plaj%C4%B1/data=!4m2!3m1!1s0x14b55e6ff080f0a9:0x21efcca09f3f27e7,,
Barış Manço Parkı,,https://www.google.com/maps/place/Bar%C4%B1%C5%9F+Man%C3%A7o+Park%C4%B1/data=!4m2!3m1!1s0x14b56779c016e715:0xe290978130c08766,,
Başakşehir Belediyesi Şelale Park Sosyal Tesisleri,,https://www.google.com/maps/place/Ba%C5%9Fak%C5%9Fehir+Belediyesi+%C5%9Eelale+Park+Sosyal+Tesisleri/data=!4m2!3m1!1s0x14caa77bc64bafad:0x6e712e0a093fdd20,,
Bahçeşehir Gölet Parkı,,https://www.google.com/maps/place/Bah%C3%A7e%C5%9Fehir+G%C3%B6let+Park%C4%B1/data=!4m2!3m1!1s0x14caa775d3148ba7:0x6516ab0512ba4ffa,,
Mimar Sinan Kent Ormanı,,https://www.google.com/maps/place/Mimar+Sinan+Kent+Orman%C4%B1/data=!4m2!3m1!1s0x14cab19984cf1819:0x2c5b84fc848962e4,,
"Nezahat Gökyiğit Botanik Bahçesi, Ümraniye Girişi",,"https://www.google.com/maps/place/Nezahat+G%C3%B6kyi%C4%9Fit+Botanik+Bah%C3%A7esi,+%C3%9Cmraniye+Giri%C5%9Fi/data=!4m2!3m1!1s0x14cacf08b739808d:0x51009c77ac247cd6",,
Aydos Ormanı Gölü,,https://www.google.com/maps/place/Aydos+Orman%C4%B1+G%C3%B6l%C3%BC/data=!4m2!3m1!1s0x14cac553aa48eb05:0xc5f55bd5ce912b6,,
