Başlık,Not,URL,Etiketler,Yorum
,,,,
Runik Board Game Cafe,,https://www.google.com/maps/place/Runik+Board+Game+Cafe/data=!4m2!3m1!1s0x14d337204f168b4b:0xdd2ee8d4de35e64f,,
Kabakçı Ali Lokantası,,https://www.google.com/maps/place/Kabak%C3%A7%C4%B1+Ali+Lokantas%C4%B1/data=!4m2!3m1!1s0x14d085a8c806e2a9:0xd23b4546cf9b96e,,
Katmerci Zekeriya Usta,,https://www.google.com/maps/place/Katmerci+Zekeriya+Usta/data=!4m2!3m1!1s0x1531e14b544251cb:0x427dc8ca25dd3528,,
Dürümcü Habeş,,https://www.google.com/maps/place/D%C3%BCr%C3%BCmc%C3%BC+Habe%C5%9F/data=!4m2!3m1!1s0x1531e14c883d6d5b:0x871f39ac7eee880e,,
Koçak Baklava Şube,,https://www.google.com/maps/place/Ko%C3%A7ak+Baklava+%C5%9Eube/data=!4m2!3m1!1s0x1531e143888b9735:0x9fd3a0c5caeb8b1e,,
Piazza AVM Kahramanmaraş,,https://www.google.com/maps/place/Piazza+AVM+Kahramanmara%C5%9F/data=!4m2!3m1!1s0x152ddda57596fb2f:0x1b100df27212109c,,
Doboğlu tarhana,,https://www.google.com/maps/place/Dobo%C4%9Flu+tarhana/data=!4m2!3m1!1s0x152ddc5f7af4635d:0xd6134df467d3349f,,
Kahramanmaraş Kalesi,,https://www.google.com/maps/place/Kahramanmara%C5%9F+Kalesi/data=!4m2!3m1!1s0x152ddd11c62b27e3:0x3cf5bbc3b7805637,,
Expo,,https://www.google.com/maps/place/Expo/data=!4m2!3m1!1s0x152ddb005843c8fb:0xbde17036e6c67e29,,
Kahramanmaraş Arkeoloji Müzesi,,https://www.google.com/maps/place/Kahramanmara%C5%9F+Arkeoloji+M%C3%BCzesi/data=!4m2!3m1!1s0x152ddda72651c81d:0x19edb8bbeba7f58e,,
Şairler Tepesi,,https://www.google.com/maps/place/%C5%9Eairler+Tepesi/data=!4m2!3m1!1s0x152ddd20f540c653:0xa43835b2109b5559,,
