Başlık,Not,URL,Etiketler,Yorum
,,,,
Muma Burger Maslak,,https://www.google.com/maps/place/Muma+Burger+Maslak/data=!4m2!3m1!1s0x14cab56909a170cb:0x67de4c33e3d45df6,,
Erişte,,https://www.google.com/maps/place/Eri%C5%9Fte/data=!4m2!3m1!1s0x14cab592c21e4479:0xc0580f8846b369dc,,
Hey Döner Güneşli,,https://www.google.com/maps/place/Hey+D%C3%B6ner+G%C3%BCne%C5%9Fli/data=!4m2!3m1!1s0x14caa5c59ef79227:0xbff99a07104bc60f,,
Köfteci Yusuf,,https://www.google.com/maps/place/K%C3%B6fteci+Yusuf/data=!4m2!3m1!1s0x14cab75c52db9d73:0x9554bd8a44aa5def,,
Zest Maslak,,https://www.google.com/maps/place/Zest+Maslak/data=!4m2!3m1!1s0x14cab5c1cbdd7f2b:0x7f00303ef7f328ac,,
Kavurmacı Efe Kemal - Maslak,,https://www.google.com/maps/place/Kavurmac%C4%B1+Efe+Kemal+-+Maslak/data=!4m2!3m1!1s0x14cab5d8b1434bd3:0x250c3f160d2c9bfd,,
GÖZCÜ DÜRÜM IZGARA,,https://www.google.com/maps/place/G%C3%96ZC%C3%9C+D%C3%9CR%C3%9CM+IZGARA/data=!4m2!3m1!1s0x14cab56a660f4b37:0xaa37ec541f4459bf,,
Midyeci Nebi Sarıyer,,https://www.google.com/maps/place/Midyeci+Nebi+Sar%C4%B1yer/data=!4m2!3m1!1s0x409fe148b4b0abdf:0x2db9627ec269aa2d,,
Safiş Kumpir ve Waffle,,https://www.google.com/maps/place/Safi%C5%9F+Kumpir+ve+Waffle/data=!4m2!3m1!1s0x14cab70ef510ab6b:0x6adc451b4e4503f,,
Bubada Club Sandwich & More,,https://www.google.com/maps/place/Bubada+Club+Sandwich+%26+More/data=!4m2!3m1!1s0x14cab8613fa396a9:0xb509bf3e4bd5189f,,
Mahir Lokantası,,https://www.google.com/maps/place/Mahir+Lokantas%C4%B1/data=!4m2!3m1!1s0x14cab711e55eb8cb:0xd89f76d4b565162b,,
Azzurro Pizza Napoletana,,https://www.google.com/maps/place/Azzurro+Pizza+Napoletana/data=!4m2!3m1!1s0x14cab716f27a8f91:0x9e54b15b107a595e,,
Kebapçı Çetin Usta - Güngören Şubesi,,https://www.google.com/maps/place/Kebap%C3%A7%C4%B1+%C3%87etin+Usta+-+G%C3%BCng%C3%B6ren+%C5%9Eubesi/data=!4m2!3m1!1s0x14cabad82909de53:0x1608d3983b00b16b,,
Aysel Kebap Evi,,https://www.google.com/maps/place/Aysel+Kebap+Evi/data=!4m2!3m1!1s0x14cab67f27ca2d91:0x59f2d3d0289ff28a,,
46 Zurna Dürüm,,https://www.google.com/maps/place/46+Zurna+D%C3%BCr%C3%BCm/data=!4m2!3m1!1s0x14cab75afacc7431:0x2f9f8eced5cd9680,,
LaPitsa,,https://www.google.com/maps/place/LaPitsa/data=!4m2!3m1!1s0x14cab86f55e05bdf:0x3fd9774bd5615a5e,,
Sokak pilavcısı,,https://www.google.com/maps/place/Sokak+pilavc%C4%B1s%C4%B1/data=!4m2!3m1!1s0x14cab7e363764c0b:0x9d89110d394d4428,,
Ayla Tantuni | Taksim İstiklal,,https://www.google.com/maps/place/Ayla+Tantuni+%7C+Taksim+%C4%B0stiklal/data=!4m2!3m1!1s0x14cab7605e5392eb:0x82bcbde0f6af237b,,
Betro Burger Beşiktaş,,https://www.google.com/maps/place/Betro+Burger+Be%C5%9Fikta%C5%9F/data=!4m2!3m1!1s0x14cab79c4a374005:0x30a4b424b65abdce,,
Çamlık Garden Tarabya,,https://www.google.com/maps/place/%C3%87aml%C4%B1k+Garden+Tarabya/data=!4m2!3m1!1s0x14cacaa140c52299:0x3d456252413bb040,,
Pizza2Go,,https://www.google.com/maps/place/Pizza2Go/data=!4m2!3m1!1s0x14cab722c6045def:0x7ba4e892ed512910,,
Philly's,,https://www.google.com/maps/place/Philly's/data=!4m2!3m1!1s0x14cab715aa06bc6b:0x23b6779958463afa,,
Arca Burger,,https://www.google.com/maps/place/Arca+Burger/data=!4m2!3m1!1s0x14cab74cd35512c3:0x6b117ab3d91636d5,,
Karadeniz Döner Asım Usta,,https://www.google.com/maps/place/Karadeniz+D%C3%B6ner+As%C4%B1m+Usta/data=!4m2!3m1!1s0x14cab7a21841b4df:0x3664b8664055456,,
