Başlık,Not,URL,Etiketler,Yorum
,,,,
Eyüppark Alışveriş Ve Yaşam Merkezi,,https://www.google.com/maps/place/Ey%C3%BCppark+Al%C4%B1%C5%9Fveri%C5%9F+Ve+Ya%C5%9Fam+Merkezi/data=!4m2!3m1!1s0x14cab0e0fb8a96b5:0x544adde1ccf2c778,,
Eyüppark Alışveriş Ve Yaşam Merkezi,,https://www.google.com/maps/place/Ey%C3%BCppark+Al%C4%B1%C5%9Fveri%C5%9F+Ve+Ya%C5%9Fam+Merkezi/data=!4m2!3m1!1s0x14cab0e0fb8a96b5:0x544adde1ccf2c778,,
Metropol İstanbul Alışveriş Merkezi,,https://www.google.com/maps/place/Metropol+%C4%B0stanbul+Al%C4%B1%C5%9Fveri%C5%9F+Merkezi/data=!4m2!3m1!1s0x14cacf5516ef0a05:0x157b6a54b6638981,,
Aqua Florya,,https://www.google.com/maps/place/Aqua+Florya/data=!4m2!3m1!1s0x14caa24c4f0c9ab9:0xe94cdf82b9352c8b,,
Galleria Alışveriş Merkezi,,https://www.google.com/maps/place/Galleria+Al%C4%B1%C5%9Fveri%C5%9F+Merkezi/data=!4m2!3m1!1s0x14cabcb0dce6b209:0xebc2d3a9bc65011e,,
İstiklal AVM,3tl langırt,https://www.google.com/maps/place/%C4%B0stiklal+AVM/data=!4m2!3m1!1s0x14cab773b05b63ab:0xaac1e910acbf72fe,,
Tepe Nautilus AVM,,https://www.google.com/maps/place/Tepe+Nautilus+AVM/data=!4m2!3m1!1s0x14cab812f527c2ff:0xcd18ea8436faee86,,
Torun Center,,https://www.google.com/maps/place/Torun+Center/data=!4m2!3m1!1s0x14cab6ff113a5661:0x41e9a778a4dd953b,,
Carousel Alışveriş Ve Yaşam Merkezi,,https://www.google.com/maps/place/Carousel+Al%C4%B1%C5%9Fveri%C5%9F+Ve+Ya%C5%9Fam+Merkezi/data=!4m2!3m1!1s0x14caa4b161f90a33:0x23f4ccee1d4f08d5,,
Perlavista AVM,,https://www.google.com/maps/place/Perlavista+AVM/data=!4m2!3m1!1s0x14b55f0001f995bd:0x5ffc76bdb144450d,,
Torium AVM,,https://www.google.com/maps/place/Torium+AVM/data=!4m2!3m1!1s0x14caa08b53a53b01:0xb400ec44e7243407,,
Akbatı AVM,,https://www.google.com/maps/place/Akbat%C4%B1+AVM/data=!4m2!3m1!1s0x14b558a17c714861:0xb632fa60041dc786,,
ArenaPark Alışveriş Merkezi,,https://www.google.com/maps/place/ArenaPark+Al%C4%B1%C5%9Fveri%C5%9F+Merkezi/data=!4m2!3m1!1s0x14caa5b7f334475d:0x72c06275f405c16c,,
Mall of İstanbul,,https://www.google.com/maps/place/Mall+of+%C4%B0stanbul/data=!4m2!3m1!1s0x14caa59939b08cf5:0x51dbb16a702cb15a,,
