Başlık,Not,URL,Etiketler,Yorum
,,,,
Bira Fabrikasi Hisarüstü,,https://www.google.com/maps/place/Bira+Fabrikasi+Hisar%C3%BCst%C3%BC/data=!4m2!3m1!1s0x14caca01b8ab940f:0xf79b22882f644297,,
Pub-Line,,https://www.google.com/maps/place/Pub-Line/data=!4m2!3m1!1s0x14cab76af8862b8b:0xb393a63dd070e378,,
ROCKNROLLA İSTANBUL,,https://www.google.com/maps/place/ROCKNROLLA+%C4%B0STANBUL/data=!4m2!3m1!1s0x14cab7a47a806841:0x66fb6605aea4fcff,,
pixel pub kadıköy,,https://www.google.com/maps/place/pixel+pub+kad%C4%B1k%C3%B6y/data=!4m2!3m1!1s0x14cab9b3f0d82d27:0xab96fadc604b14c,,
RocknRolla Kadıköy,,https://www.google.com/maps/place/RocknRolla+Kad%C4%B1k%C3%B6y/data=!4m2!3m1!1s0x14cab8612fe7f51f:0x648f281f39ffbc1b,,
Salpa Bar,,https://www.google.com/maps/place/Salpa+Bar/data=!4m2!3m1!1s0x14cab8666da194f9:0xd5a40f367248fa69,,
Kuytu,,https://www.google.com/maps/place/Kuytu/data=!4m2!3m1!1s0x14cab867a3df4403:0xb802c3f83e0f0098,,
Rise Pub,,https://www.google.com/maps/place/Rise+Pub/data=!4m2!3m1!1s0x14cab97a7d25b1d3:0x272623fb4efc28f8,,
Pera Cafe/Bar,,https://www.google.com/maps/place/Pera+Cafe%2FBar/data=!4m2!3m1!1s0x14cab7611284bae1:0x3ba92be8f6a26cb8,,
Öğrenci Kulübü Cafe&Bar,,https://www.google.com/maps/place/%C3%96%C4%9Frenci+Kul%C3%BCb%C3%BC+Cafe%26Bar/data=!4m2!3m1!1s0x14cab766ad87dfe7:0x52022df2d1e5a34,,
İzole Beyoğlu | Restaurant & Bar,,https://www.google.com/maps/place/%C4%B0zole+Beyo%C4%9Flu+%7C+Restaurant+%26+Bar/data=!4m2!3m1!1s0x14cab75ca15dc471:0x7099094d487a09e5,,
