Başlık,Not,URL,Etiketler,Yorum
,,,,
Galatasaray Adası,,https://www.google.com/maps/place/Galatasaray+Adas%C4%B1/data=!4m2!3m1!1s0x14cab62f37c60b09:0x7dd4ac2dd85c0f3c,,
LaPitsa,,https://www.google.com/maps/place/LaPitsa/data=!4m2!3m1!1s0x14cab86f55e05bdf:0x3fd9774bd5615a5e,,
Moda Komedi Kulübü,,https://www.google.com/maps/place/Moda+Komedi+Kul%C3%BCb%C3%BC/data=!4m2!3m1!1s0x14cab95fedb0ea6b:0x2ee218778e75e3dd,,
Hasan Usta Kebap,,https://www.google.com/maps/place/Hasan+Usta+Kebap/data=!4m2!3m1!1s0x14cab816ade7626b:0xc8a3b149b27baa7,,
ViaSea Tema Park,,https://www.google.com/maps/place/ViaSea+Tema+Park/data=!4m2!3m1!1s0x14caddd07f6828f9:0x98e01169532d4bec,,
Boulderhane,,https://www.google.com/maps/place/Boulderhane/data=!4m2!3m1!1s0x14cab66338ad4427:0x8c5bfba575fc294b,,
Caddebostan Muscle Beach,,https://www.google.com/maps/place/Caddebostan+Muscle+Beach/data=!4m2!3m1!1s0x14cac7794aca41db:0xc6063cbabb4e3391,,
Veliefendi Hipodromu,,https://www.google.com/maps/place/Veliefendi+Hipodromu/data=!4m2!3m1!1s0x14cabb66aff4727f:0xb548ac9bba9ea01c,,
Nefes Vadi Restaurant & Cafe,,https://www.google.com/maps/place/Nefes+Vadi+Restaurant+%26+Cafe/data=!4m2!3m1!1s0x14cab54542621847:0x3d1ad7c4be39c834,,
Eskihisar Macera ve Aksiyon Parkı,,https://www.google.com/maps/place/Eskihisar+Macera+ve+Aksiyon+Park%C4%B1/data=!4m2!3m1!1s0x14cb201363dbea2b:0x2e4821cb83413543,,
TAKSİM KADINLAR KAHVESİ,,https://www.google.com/maps/place/TAKS%C4%B0M+KADINLAR+KAHVES%C4%B0/data=!4m2!3m1!1s0x14cab761727668c3:0xe163ef8d5bdb00cc,,
OSES Gurme,,https://www.google.com/maps/place/OSES+Gurme/data=!4m2!3m1!1s0x14cab99446d22c6b:0xd69ed276d9a3ba63,,
Calisthenics Park,,https://www.google.com/maps/place/Calisthenics+Park/data=!4m2!3m1!1s0x14cab700742692f1:0xeaa7c74802daaf55,,
Beşiktaş Belediyesi Yenilevent Sporcular Parkı,,https://www.google.com/maps/place/Be%C5%9Fikta%C5%9F+Belediyesi+Yenilevent+Sporcular+Park%C4%B1/data=!4m2!3m1!1s0x14cab6719e9f35af:0x12cde5dfab2bf583,,
Alibaba Doğaltaş - Merkez,,https://www.google.com/maps/place/Alibaba+Do%C4%9Falta%C5%9F+-+Merkez/data=!4m2!3m1!1s0x14cab9eca118a11f:0xc3362dbb3200c852,,
Guaj Art,,https://www.google.com/maps/place/Guaj+Art/data=!4m2!3m1!1s0x14cab7ffc3a98a79:0xc7bd9369a1fa91e8,,
Dog statue on pillow,,https://www.google.com/maps/place/Dog+statue+on+pillow/data=!4m2!3m1!1s0x14cab98ca493efe1:0xf90030c3eff050d,,
Avrasya Bilardo Cafe,,https://www.google.com/maps/place/Avrasya+Bilardo+Cafe/data=!4m2!3m1!1s0x14cab6f8cb58564d:0xea8367983defd1d4,,
Zippline Vialand,,https://www.google.com/maps/place/Zippline+Vialand/data=!4m2!3m1!1s0x14cab1f48ba5042b:0x921bc2d65c785e61,,
Masal Bahçe,,https://www.google.com/maps/place/Masal+Bah%C3%A7e/data=!4m2!3m1!1s0x14cac8826665eb35:0x38c1d781177323f4,,
Metropol Hamam & Spa ve Yüzme Havuzu,,https://www.google.com/maps/place/Metropol+Hamam+%26+Spa+ve+Y%C3%BCzme+Havuzu/data=!4m2!3m1!1s0x14cac9249849ca2b:0xf2c718caa577359c,,
TuzBiber Komedi Kulübü,,https://www.google.com/maps/place/TuzBiber+Komedi+Kul%C3%BCb%C3%BC/data=!4m2!3m1!1s0x14cab97bb03da57d:0xa588b024f40f6edd,,
İBB Beyoğlu Spor Kompleksi,,https://www.google.com/maps/place/%C4%B0BB+Beyo%C4%9Flu+Spor+Kompleksi/data=!4m2!3m1!1s0x14cab75f3125e389:0x4b702d14b176956b,,
İBB Metin Oktay Spor Tesisi,,https://www.google.com/maps/place/%C4%B0BB+Metin+Oktay+Spor+Tesisi/data=!4m2!3m1!1s0x14caca83cfa36ddf:0x415a170d2386e924,,
Çubuklu İstinye Feribot İskelesi,çubuklu silolar,https://www.google.com/maps/place/%C3%87ubuklu+%C4%B0stinye+Feribot+%C4%B0skelesi/data=!4m2!3m1!1s0x14caca50c5969d19:0x779c58ae06c2e5fb,,
Taksim Poligon Shooting Club,,https://www.google.com/maps/place/Taksim+Poligon+Shooting+Club/data=!4m2!3m1!1s0x14caade886c5d3eb:0xae518cca094c2fc2,,
İstanbul Diyalog Müzesi,,https://www.google.com/maps/place/%C4%B0stanbul+Diyalog+M%C3%BCzesi/data=!4m2!3m1!1s0x14cab650076d811b:0x9f7fe1955550718f,,
Park of istanbul,,https://www.google.com/maps/place/Park+of+istanbul/data=!4m2!3m1!1s0x14cad30828fd6951:0x753b5ae19214ae39,,
