Başlık,Not,URL,Etiketler,Yorum
,,,,
Beyoğlu Cinemajestic,,https://www.google.com/maps/place/Beyo%C4%9Flu+Cinemajestic/data=!4m2!3m1!1s0x14cab746f415ed6f:0xda985652c596dd04,,
Kordon Alsancak Izmir,,https://www.google.com/maps/place/Kordon+Alsancak+Izmir/data=!4m2!3m1!1s0x14bbd85b1ee6cb8d:0x6a9bc8cd5752e270,,
Zula Cafe,,https://www.google.com/maps/place/Zula+Cafe/data=!4m2!3m1!1s0x14cab5daaddc871d:0xec9cef501e8dda25,,
Bu Kafa,,https://www.google.com/maps/place/Bu+Kafa/data=!4m2!3m1!1s0x14cab76251ca7077:0xf9f1bde39790a294,,
Berol Antik,,https://www.google.com/maps/place/Berol+Antik/data=!4m2!3m1!1s0x14cabca721ea69e7:0xb9999549a7ca5e5,,
Karadeniz Antik,,https://www.google.com/maps/place/Karadeniz+Antik/data=!4m2!3m1!1s0x14cab75c00000001:0x48b0069bcda00424,,
Oflular Kıraathanesi,,https://www.google.com/maps/place/Oflular+K%C4%B1raathanesi/data=!4m2!3m1!1s0x14cab7641ea5cdf1:0x73c447c77773ac09,,
İstanbul Kitapçısı Beşiktaş Şubesi,,https://www.google.com/maps/place/%C4%B0stanbul+Kitap%C3%A7%C4%B1s%C4%B1+Be%C5%9Fikta%C5%9F+%C5%9Eubesi/data=!4m2!3m1!1s0x14cab77f3fc54ae3:0x1ec1bf012a0a10c8,,
Golden Mert Kırtasiye,,https://www.google.com/maps/place/Golden+Mert+K%C4%B1rtasiye/data=!4m2!3m1!1s0x14cab519f5d4cfdf:0xe8bac29bdee17dd1,,
Harley-Davidson West,,https://www.google.com/maps/place/Harley-Davidson+West/data=!4m2!3m1!1s0x14caa534e1dacf85:0x9e4b051e4388ad0b,,
Tünel,,https://www.google.com/maps/place/T%C3%BCnel/data=!4m2!3m1!1s0x14cab9e8144a79f5:0x2d2f53a3d9b761a8,,
Hayrola Lunapark,,https://www.google.com/maps/place/Hayrola+Lunapark/data=!4m2!3m1!1s0x14caa1bf1c444fa3:0x55fb3dd8f121448b,,
İBB Beyoğlu Sineması,,https://www.google.com/maps/place/%C4%B0BB+Beyo%C4%9Flu+Sinemas%C4%B1/data=!4m2!3m1!1s0x14cab7611dd1a161:0xc25891fa4fa2b715,,
Sis playstation Hisarüstü,,https://www.google.com/maps/place/Sis+playstation+Hisar%C3%BCst%C3%BC/data=!4m2!3m1!1s0x14cab60027128e41:0x4fd7b36ff72369a7,,
Fairplay Playstation Oyun&Eğlence Kafe,,https://www.google.com/maps/place/Fairplay+Playstation+Oyun%26E%C4%9Flence+Kafe/data=!4m2!3m1!1s0x14cabca37a630487:0xa5949e80c97de008,,
Taraftar ps4 & ps5 Cafe,,https://www.google.com/maps/place/Taraftar+ps4+%26+ps5+Cafe/data=!4m2!3m1!1s0x14cab6f934ae1dc3:0x60da0d2e319e0f21,,
Projemed Reklam Ajansı,,https://www.google.com/maps/place/Projemed+Reklam+Ajans%C4%B1/data=!4m2!3m1!1s0x14cab655b54c4fa9:0x677165f9511e5bbc,,
Mutfak Sanatları Akademisi,,https://www.google.com/maps/place/Mutfak+Sanatlar%C4%B1+Akademisi/data=!4m2!3m1!1s0x14cab5c43c3b671f:0x29f7a211c036b42d,,
Atatürk Airport,,https://www.google.com/maps/place/Atat%C3%BCrk+Airport/data=!4m2!3m1!1s0x14caa37ed6089be1:0xccebadf374d3449f,,
Sensus Hilltown,,https://www.google.com/maps/place/Sensus+Hilltown/data=!4m2!3m1!1s0x14cac795b4bfcb4d:0x4fe66ae65b1b557b,,
İstanbul Bilim Sanat Akademisi,,https://www.google.com/maps/place/%C4%B0stanbul+Bilim+Sanat+Akademisi/data=!4m2!3m1!1s0x14cac703746e78a1:0x57060b12656e0f92,,
Cumba Sahne,,https://www.google.com/maps/place/Cumba+Sahne/data=!4m2!3m1!1s0x14cac781a4f0bd9f:0x7a12b8635ec48e74,,
