Başlık,Not,URL,Etiketler,Yorum
,,,,
Yaşar Plastik Ve Ambalaj Poşet,,https://www.google.com/maps/place/Ya%C5%9Far+Plastik+Ve+Ambalaj+Po%C5%9Fet/data=!4m2!3m1!1s0x14cab68804016a41:0xacb8fc04363fd5be,,
Zaza Han,,https://www.google.com/maps/place/Zaza+Han/data=!4m2!3m1!1s0x14cab9ecb99dc777:0x4c1d023fb8a7ecaf,,
Adaçoğlu Pil,,https://www.google.com/maps/place/Ada%C3%A7o%C4%9Flu+Pil/data=!4m2!3m1!1s0x14cab9ecb01b3979:0xe188a624e2152d19,,
SANTRAL CENTER İŞ MERKEZİ &OneMobile&ATABEY&GEVEY KART&gevey kart istanbul,,https://www.google.com/maps/place/SANTRAL+CENTER+%C4%B0%C5%9E+MERKEZ%C4%B0+%26OneMobile%26ATABEY%26GEVEY+KART%26gevey+kart+istanbul/data=!4m2!3m1!1s0x14cab9ec964a0167:0xdafb472f29be5061,,
Mangasist Gümüş & Doğaltaş,,https://www.google.com/maps/place/Mangasist+G%C3%BCm%C3%BC%C5%9F+%26+Do%C4%9Falta%C5%9F/data=!4m2!3m1!1s0x14cab8665176e0c1:0x8e621ce931fbbe8,,
Ucuzgiy.Com,,https://www.google.com/maps/place/Ucuzgiy.Com/data=!4m2!3m1!1s0x14cab866e2403345:0x9958650a42c7cc69,,
Gözde Sarraf,,https://www.google.com/maps/place/G%C3%B6zde+Sarraf/data=!4m2!3m1!1s0x14cab661455c649b:0xe07c5fdce1328537,,
GRATİS ORTABAHÇE CD,,https://www.google.com/maps/place/GRAT%C4%B0S+ORTABAH%C3%87E+CD/data=!4m2!3m1!1s0x14cab79f59d94ac5:0xc15ffe1995c52c5a,,
Yurtiçi Kargo Levent,,https://www.google.com/maps/place/Yurti%C3%A7i+Kargo+Levent/data=!4m2!3m1!1s0x14cab67c3ffd5ef3:0xd86133a700635cd0,,
PLUS İNSAN KAYNAKLARI,,https://www.google.com/maps/place/PLUS+%C4%B0NSAN+KAYNAKLARI/data=!4m2!3m1!1s0x14cab7a595ce2ca7:0x7c36bce20506ca80,,
CarrefourSA,,https://www.google.com/maps/place/CarrefourSA/data=!4m2!3m1!1s0x14cab7623cebb6dd:0x6d771ed4587aa845,,
iRide,,https://www.google.com/maps/place/iRide/data=!4m2!3m1!1s0x14caa3780c729855:0x76e1a0c67de4b00e,,
İdeal Kırtasiye & Büro Malzemeleri,,https://www.google.com/maps/place/%C4%B0deal+K%C4%B1rtasiye+%26+B%C3%BCro+Malzemeleri/data=!4m2!3m1!1s0x14cab5959b45d525:0xd7b6472702daf624,,
Yurtiçi Kargo Maslak,,https://www.google.com/maps/place/Yurti%C3%A7i+Kargo+Maslak/data=!4m2!3m1!1s0x14cab5bfec04af7b:0x21af1247294bcac9,,
Beyoğlu Belediyesi Evlendirme Dairesi,,https://www.google.com/maps/place/Beyo%C4%9Flu+Belediyesi+Evlendirme+Dairesi/data=!4m2!3m1!1s0x14cab9e6bd4a6a9b:0xcb4889fef68916ce,,
Çiçek Pasajı,,https://www.google.com/maps/place/%C3%87i%C3%A7ek+Pasaj%C4%B1/data=!4m2!3m1!1s0x14cab760f638f619:0xba73927bf194ff53,,
Kannat Market,,https://www.google.com/maps/place/Kannat+Market/data=!4m2!3m1!1s0x14cab9e6c287c93b:0x8b9e3856d395f963,,
SunDry Kuru Temizleme,ceket 200 250,https://www.google.com/maps/place/SunDry+Kuru+Temizleme/data=!4m2!3m1!1s0x14cab720c8be0aa3:0x56ab368f5d802dc,,
"41°03'05.3""N 28°59'12.4""E",Rıfat Terzi,"https://www.google.com/maps/search/41.051468,28.986782",,
İstanbul Kitapçısı Mecidiyeköy Şubesi,,https://www.google.com/maps/place/%C4%B0stanbul+Kitap%C3%A7%C4%B1s%C4%B1+Mecidiyek%C3%B6y+%C5%9Eubesi/data=!4m2!3m1!1s0x14cab713eacfe053:0x2eb3e35c0802a4f3,,
EkoTemiz WetClean & Dry Clean& Organik Kuru Temizleme,,https://www.google.com/maps/place/EkoTemiz+WetClean+%26+Dry+Clean%26+Organik+Kuru+Temizleme/data=!4m2!3m1!1s0x14cab6f94dbec501:0xb985e809c566aa3c,,
Tekin Gold,,https://www.google.com/maps/place/Tekin+Gold/data=!4m2!3m1!1s0x14cab6ff3eee1303:0xc9455472a11d870b,,
IKEA Kartal,,https://www.google.com/maps/place/IKEA+Kartal/data=!4m2!3m1!1s0x14cac466477a78a3:0xa32aa01d882a2ac0,,
Geleneksel Eyüp Oyuncakçısı,,https://www.google.com/maps/place/Geleneksel+Ey%C3%BCp+Oyuncak%C3%A7%C4%B1s%C4%B1/data=!4m2!3m1!1s0x14cab147095c9a0d:0xe26feddc6bb1624c,,
Avrupa Pasajı,,https://www.google.com/maps/place/Avrupa+Pasaj%C4%B1/data=!4m2!3m1!1s0x14cab7606478f28d:0x997c45ecd296989d,,
Işık Bisiklet,,https://www.google.com/maps/place/I%C5%9F%C4%B1k+Bisiklet/data=!4m2!3m1!1s0x14cab9e79680f179:0x87f26b8f7bf01d3a,,
Şark han,,https://www.google.com/maps/place/%C5%9Eark+han/data=!4m2!3m1!1s0x14cab9933736a805:0xb3f0bd25586134b2,,
Beta Yeni Han,,https://www.google.com/maps/place/Beta+Yeni+Han/data=!4m2!3m1!1s0x14cab9ec9c069317:0xa4a72caee9ab03ae,,
