Başlık,Not,URL,Etiketler,Yorum
,,,,
FURKAN CAFE & NARGILE AILE ÇAY BAHÇESI,,https://www.google.com/maps/place/FURKAN+CAFE+%26+NARGILE+AILE+%C3%87AY+BAH%C3%87ESI/data=!4m2!3m1!1s0x14cab98c84883b5b:0x36ec979984452ba4,,
Çat Cafe,,https://www.google.com/maps/place/%C3%87at+Cafe/data=!4m2!3m1!1s0x14cab98c11914153:0xd591e4da8b653ef1,,
Çat Cafe,,https://www.google.com/maps/place/%C3%87at+Cafe/data=!4m2!3m1!1s0x14cab98c11914153:0xd591e4da8b653ef1,,
ANKA WAFFLE,,https://www.google.com/maps/place/ANKA+WAFFLE/data=!4m2!3m1!1s0x14cab7a5283744a7:0x61a5b6d97fb9be08,,
Brew Coffee and Moctail Bar,,https://www.google.com/maps/place/Brew+Coffee+and+Moctail+Bar/data=!4m2!3m1!1s0x14caa57c6d6ab24d:0x153dab63d4c93543,,
Wings Coffee House,,https://www.google.com/maps/place/Wings+Coffee+House/data=!4m2!3m1!1s0x14cab769d83401cf:0xcb248562d983aab1,,
UN SANATI Ispartakule,,https://www.google.com/maps/place/UN+SANATI+Ispartakule/data=!4m2!3m1!1s0x14caa7005ceb3e9f:0x9cefed895fa1ca0b,,
Shabby Cafe,,https://www.google.com/maps/place/Shabby+Cafe/data=!4m2!3m1!1s0x14cab732d1f00a2f:0x596e183100d07d8b,,
Köfteci Yusuf,,https://www.google.com/maps/place/K%C3%B6fteci+Yusuf/data=!4m2!3m1!1s0x14cab75c52db9d73:0x9554bd8a44aa5def,,
Periwinkle Patisserie / Periwinkle XL Board Game Cafe,,https://www.google.com/maps/place/Periwinkle+Patisserie+%2F+Periwinkle+XL+Board+Game+Cafe/data=!4m2!3m1!1s0x14cabd9fe73397b1:0xeed5d0affe0a3701,,
Wandervogel,,https://www.google.com/maps/place/Wandervogel/data=!4m2!3m1!1s0x14cab9959313a42b:0xefb8779655115dea,,
Böcek,,https://www.google.com/maps/place/B%C3%B6cek/data=!4m2!3m1!1s0x14cab86121da8713:0x4af21fa8b6163e73,,
Rawsters 42 Maslak,,https://www.google.com/maps/place/Rawsters+42+Maslak/data=!4m2!3m1!1s0x14cab5bf3e569e9f:0xf95b98ee2c917e04,,
Kronotrop Levent Eatery,,https://www.google.com/maps/place/Kronotrop+Levent+Eatery/data=!4m2!3m1!1s0x14cab7c13d4b171b:0xe4e172cf85b71eb6,,
