Başlık,Not,URL,Etiketler,Yorum
,,,,
Periwinkle Patisserie / Periwinkle XL Board Game Cafe,,https://www.google.com/maps/place/Periwinkle+Patisserie+%2F+Periwinkle+XL+Board+Game+Cafe/data=!4m2!3m1!1s0x14cabd9fe73397b1:0xeed5d0affe0a3701,,
Kanlıca Teras,,https://www.google.com/maps/place/Kanl%C4%B1ca+Teras/data=!4m2!3m1!1s0x14caca6ad85a812f:0xbeb65be95673cc40,,
But First Coffee,,https://www.google.com/maps/place/But+First+Coffee/data=!4m2!3m1!1s0x14cab716d63c492d:0xe2eb38c4abadb6c4,,
Kaffee Schütz Beşiktaş,,https://www.google.com/maps/place/Kaffee+Sch%C3%BCtz+Be%C5%9Fikta%C5%9F/data=!4m2!3m1!1s0x14cab7006c8f70b5:0x733e5f97202433c9,,
Caffè Nero,,https://www.google.com/maps/place/Caff%C3%A8+Nero/data=!4m2!3m1!1s0x14cab786c9699ec3:0x77088d0f90fcf185,,
Heep's Coffee Çengelköy,,https://www.google.com/maps/place/Heep's+Coffee+%C3%87engelk%C3%B6y/data=!4m2!3m1!1s0x14cac9c2d8b2ee41:0xa1e0beb7435daaf8,,
Moda Sahil Parkı ve Yürüyüş Yolu,,https://www.google.com/maps/place/Moda+Sahil+Park%C4%B1+ve+Y%C3%BCr%C3%BCy%C3%BC%C5%9F+Yolu/data=!4m2!3m1!1s0x14cab88a6b1a7fc5:0x2a8426d49e0a222a,,
İBB Florya Sosyal Tesisleri,,https://www.google.com/maps/place/%C4%B0BB+Florya+Sosyal+Tesisleri/data=!4m2!3m1!1s0x14caa3b79e11ab6d:0x77df720b3a1ebad9,,
Moda Aile Çay Bahçesi,,https://www.google.com/maps/place/Moda+Aile+%C3%87ay+Bah%C3%A7esi/data=!4m2!3m1!1s0x14cab8f511f6dd97:0x7b88babaf955d4a9,,
Caffè Nero,,https://www.google.com/maps/place/Caff%C3%A8+Nero/data=!4m2!3m1!1s0x14caa3b64582f98d:0x748f5a33fe9eed9b,,
Tchibo Kadıköy Bahariye,,https://www.google.com/maps/place/Tchibo+Kad%C4%B1k%C3%B6y+Bahariye/data=!4m2!3m1!1s0x14cab8667f5da001:0xe4821a45ee1d7a4e,,
İDEA Kadıköy,,https://www.google.com/maps/place/%C4%B0DEA+Kad%C4%B1k%C3%B6y/data=!4m2!3m1!1s0x14cab88a0fc00001:0xc867e72c146d60e1,,
Kardeşler Kebap & Cafe Cihangir - Istanbul,,https://www.google.com/maps/place/Karde%C5%9Fler+Kebap+%26+Cafe+Cihangir+-+Istanbul/data=!4m2!3m1!1s0x14cab7ed5ad33d33:0x68f3cc302fff9064,,
Cihangir Tarihi Simit Fırını,,https://www.google.com/maps/place/Cihangir+Tarihi+Simit+F%C4%B1r%C4%B1n%C4%B1/data=!4m2!3m1!1s0x14cab15daf85488d:0x26e98fdf1525a0b1,,
Soulmate Coffee,,https://www.google.com/maps/place/Soulmate+Coffee/data=!4m2!3m1!1s0x14cab7e31bfe3cfb:0x1eefb43d270a6ff0,,
Just Coffee & Roastery,,https://www.google.com/maps/place/Just+Coffee+%26+Roastery/data=!4m2!3m1!1s0x14cab7a1c33e4abf:0x49cbcfe546bd243f,,
Starbucks,,https://www.google.com/maps/place/Starbucks/data=!4m2!3m1!1s0x14cab74a22025311:0x23b40f403f88eb7f,,
Espressolab Taksim Tünel,,https://www.google.com/maps/place/Espressolab+Taksim+T%C3%BCnel/data=!4m2!3m1!1s0x14cab9413d558a1d:0x5f75de1459d9f3ad,,
Atölye Kafası,,https://www.google.com/maps/place/At%C3%B6lye+Kafas%C4%B1/data=!4m2!3m1!1s0x14cab9f73335c6e9:0x6606e0dbd76574a8,,
Vasalisa Cihangir,,https://www.google.com/maps/place/Vasalisa+Cihangir/data=!4m2!3m1!1s0x14cab71e7809c8af:0xc692ad78dc344199,,
Espressolab Sarıyer Eski Büyükdere İskelesi,,https://www.google.com/maps/place/Espressolab+Sar%C4%B1yer+Eski+B%C3%BCy%C3%BCkdere+%C4%B0skelesi/data=!4m2!3m1!1s0x409fe1679f56cb39:0x23e2c0be5e47b555,,
Espressolab Roastery,,https://www.google.com/maps/place/Espressolab+Roastery/data=!4m2!3m1!1s0x14cabbc3d267cc89:0x3d0d6b0fdc1af0ea,,
Fakülte Teras,,https://www.google.com/maps/place/Fak%C3%BClte+Teras/data=!4m2!3m1!1s0x14cab76418b094df:0xfb76b970291e3903,,
Muhit Kadıköy,,https://www.google.com/maps/place/Muhit+Kad%C4%B1k%C3%B6y/data=!4m2!3m1!1s0x14cab8676d911015:0x7c4338afe93bf24,,
Beltaş Rest Cafe Beşiktaş,,https://www.google.com/maps/place/Belta%C5%9F+Rest+Cafe+Be%C5%9Fikta%C5%9F/data=!4m2!3m1!1s0x14cab7a417fbd405:0x84246303d891e8ae,,
Tarantula Pub Roof,,https://www.google.com/maps/place/Tarantula+Pub+Roof/data=!4m2!3m1!1s0x14cab9fa69d825a7:0xcf33740f35854e4c,,
EKŞİ LİMON,,https://www.google.com/maps/place/EK%C5%9E%C4%B0+L%C4%B0MON/data=!4m2!3m1!1s0x14cab7a23c5d8fcf:0x1379617685a7a19f,,
Beşiktaş Fennos Cafe Nargile Okey Salonu,,https://www.google.com/maps/place/Be%C5%9Fikta%C5%9F+Fennos+Cafe+Nargile+Okey+Salonu/data=!4m2!3m1!1s0x14cab7a23be23223:0x857066c3a2d59382,,
Mezzo Bar,,https://www.google.com/maps/place/Mezzo+Bar/data=!4m2!3m1!1s0x14cab7606310ea77:0x1be08e4b0506ccab,,
Ispanak Bar,,https://www.google.com/maps/place/Ispanak+Bar/data=!4m2!3m1!1s0x14cab763fb3bbcb9:0x5a13ef3f29dea125,,
İBB Maçka Demokrasi Parkı,,https://www.google.com/maps/place/%C4%B0BB+Ma%C3%A7ka+Demokrasi+Park%C4%B1/data=!4m2!3m1!1s0x14cace33ccb7fddb:0x31f77c9ec9e157a3,,
Betat İkinci Kat,,https://www.google.com/maps/place/Betat+%C4%B0kinci+Kat/data=!4m2!3m1!1s0x14cab763f16ad2bf:0xd65ee7ad3009ddaf,,
kardeş payı,,https://www.google.com/maps/place/karde%C5%9F+pay%C4%B1/data=!4m2!3m1!1s0x14cab7c418b2af2f:0x6b1355869c5a3320,,
dekk,,https://www.google.com/maps/place/dekk/data=!4m2!3m1!1s0x14cab71e0b5d355d:0xbe40c042da506d1f,,
