Başlık,Not,URL,Etiketler,Yorum
,,,,
FORA COFFEE SHOP,,https://www.google.com/maps/place/FORA+COFFEE+SHOP/data=!4m2!3m1!1s0x152ddd1cd1524ef3:0x820026dd9aa287ad,,
Kafkahve Üsküdar,,https://www.google.com/maps/place/Kafkahve+%C3%9Csk%C3%BCdar/data=!4m2!3m1!1s0x152ddb9177ef16db:0xe209d1ff1ff6b429,,
Kuzey park,,https://www.google.com/maps/place/Kuzey+park/data=!4m2!3m1!1s0x152ddd10fe374b91:0x1b510cf81d0efa5a,,
Tarihi Ceyhan Köprüsü,,https://www.google.com/maps/place/Tarihi+Ceyhan+K%C3%B6pr%C3%BCs%C3%BC/data=!4m2!3m1!1s0x152dda8a008127e7:0x87a167c5e15c6f88,,
Galgamaç Şelalesi Toprakhisar Kanyonu,,https://www.google.com/maps/place/Galgama%C3%A7+%C5%9Eelalesi+Toprakhisar+Kanyonu/data=!4m2!3m1!1s0x152e8538ad77bd5f:0x8130d0baea0d6b10,,
ILICA ŞİFALI SU,,https://www.google.com/maps/place/ILICA+%C5%9E%C4%B0FALI+SU/data=!4m2!3m1!1s0x152dc33d185a1a01:0xbee365983c45e4bd,,
Pazarcık Otobüs Terminali,,https://www.google.com/maps/place/Pazarc%C4%B1k+Otob%C3%BCs+Terminali/data=!4m2!3m1!1s0x152df7fb6bb68511:0x1cfe7959f4036266,,
Kahramanmaraş Otobüs Terminali,,https://www.google.com/maps/place/Kahramanmara%C5%9F+Otob%C3%BCs+Terminali/data=!4m2!3m1!1s0x152dddcf9e4d40a9:0x706928199befd0b1,,
Arena karting,,https://www.google.com/maps/place/Arena+karting/data=!4m2!3m1!1s0x152ddc3d74d6a3db:0xd1bc5b4f0befc0b2,,
Şelale Park,,https://www.google.com/maps/place/%C5%9Eelale+Park/data=!4m2!3m1!1s0x152ddd0b185912e1:0x133c1c6f1a144d3b,,
Tarihi Çukur Hamamı,,https://www.google.com/maps/place/Tarihi+%C3%87ukur+Hamam%C4%B1/data=!4m2!3m1!1s0x152ddd0e1f91d483:0x18b52f545d3f7c14,,
Renkli Yaşam Parkı,,https://www.google.com/maps/place/Renkli+Ya%C5%9Fam+Park%C4%B1/data=!4m2!3m1!1s0x152ddb00674f527b:0x3bb783dae940ad42,,
Cevizli Park Çay Bahçesi,,https://www.google.com/maps/place/Cevizli+Park+%C3%87ay+Bah%C3%A7esi/data=!4m2!3m1!1s0x152ddd75e00df15f:0xfa8e3acda002d92b,,
Maraş Paça,,https://www.google.com/maps/place/Mara%C5%9F+Pa%C3%A7a/data=!4m2!3m1!1s0x152ddb895fa22df1:0x4f072768bee723a1,,
Abdülhamid Han Camii,,https://www.google.com/maps/place/Abd%C3%BClhamid+Han+Camii/data=!4m2!3m1!1s0x152ddc5678a1f60d:0x6273c4681f89dc55,,
Arsan Center Sinema,,https://www.google.com/maps/place/Arsan+Center+Sinema/data=!4m2!3m1!1s0x152ddd96e76c2467:0x1b4bdd193b8aa67,,
Haşiroğlu Satış Mağazası (Yatılı Bölge),,https://www.google.com/maps/place/Ha%C5%9Firo%C4%9Flu+Sat%C4%B1%C5%9F+Ma%C4%9Fazas%C4%B1+(Yat%C4%B1l%C4%B1+B%C3%B6lge)/data=!4m2!3m1!1s0x152ddd99fa07bb81:0xbf0e4456fdb5097b,,
Konak Restaurant & Cafe,,https://www.google.com/maps/place/Konak+Restaurant+%26+Cafe/data=!4m2!3m1!1s0x152ddc56ebdc26f3:0x13bdf1026ba5d902,,
Piazza AVM Kahramanmaraş,,https://www.google.com/maps/place/Piazza+AVM+Kahramanmara%C5%9F/data=!4m2!3m1!1s0x152ddda57596fb2f:0x1b100df27212109c,,
