Başlık,Not,URL,Etiketler,Yorum
,,,,
Yeniköy Kitapçısı,,https://www.google.com/maps/place/Yenik%C3%B6y+Kitap%C3%A7%C4%B1s%C4%B1/data=!4m2!3m1!1s0x14caca61cde65a23:0xad800cf2951575a9,,
D&R,,https://www.google.com/maps/place/D%26R/data=!4m2!3m1!1s0x14cab667f8dccad3:0x86cb30cc654616ef,,
İstanbul Kitap Kahve,,https://www.google.com/maps/place/%C4%B0stanbul+Kitap+Kahve/data=!4m2!3m1!1s0x14cabb5d993eb671:0xbc132a51769bb86b,,
Kalenderhane Kütüphanesi,,https://www.google.com/maps/place/Kalenderhane+K%C3%BCt%C3%BCphanesi/data=!4m2!3m1!1s0x14cab928cd22a85f:0x8b558fb23bf2c779,,
Emniyetevler Millet Kıraathanesi,,https://www.google.com/maps/place/Emniyetevler+Millet+K%C4%B1raathanesi/data=!4m2!3m1!1s0x14cab7dd7e9697b5:0x64b58b249fc9d7e6,,
İBB HABİTAT YAŞAM MERKEZİ,,https://www.google.com/maps/place/%C4%B0BB+HAB%C4%B0TAT+YA%C5%9EAM+MERKEZ%C4%B0/data=!4m2!3m1!1s0x14cab7bc264dd6af:0xd5a91a6397839daf,,
Tasarım Bookshop & Cafe,,https://www.google.com/maps/place/Tasar%C4%B1m+Bookshop+%26+Cafe/data=!4m2!3m1!1s0x14cab8642cb5aec7:0x6308705e7eb8bd0,,
Nevmekan Sahil,,https://www.google.com/maps/place/Nevmekan+Sahil/data=!4m2!3m1!1s0x14cab7a5b8ac7aff:0xadbe62706830b85c,,
İBB Yaşar Kemal Kütüphanesi,,https://www.google.com/maps/place/%C4%B0BB+Ya%C5%9Far+Kemal+K%C3%BCt%C3%BCphanesi/data=!4m2!3m1!1s0x14cacf7c0db489e5:0x8e60a2d405941917,,
İTÜ Mustafa İnan Kütüphanesi,,https://www.google.com/maps/place/%C4%B0T%C3%9C+Mustafa+%C4%B0nan+K%C3%BCt%C3%BCphanesi/data=!4m2!3m1!1s0x14cab5c2c09b4dd9:0xaf6eb759f2517912,,
Remzi Kitabevi,,https://www.google.com/maps/place/Remzi+Kitabevi/data=!4m2!3m1!1s0x14cab678d7800e09:0x2324d0a39de55f6a,,
