Başlık,Not,URL,Etiketler,Yorum
,,,,
Periwinkle Patisserie / Periwinkle XL Board Game Cafe,,https://www.google.com/maps/place/Periwinkle+Patisserie+%2F+Periwinkle+XL+Board+Game+Cafe/data=!4m2!3m1!1s0x14cabd9fe73397b1:0xeed5d0affe0a3701,,
Vina Cafe,,https://www.google.com/maps/place/Vina+Cafe/data=!4m2!3m1!1s0x14cab786df2274e9:0x9a9b290a8df3b2f4,,
Palmiye Sokak Cafe,,https://www.google.com/maps/place/Palmiye+Sokak+Cafe/data=!4m2!3m1!1s0x14cab7a20682336d:0xc48005f8c6109722,,
Adeks,,https://www.google.com/maps/place/Adeks/data=!4m2!3m1!1s0x14cab7a4778f510f:0x2ccc2902484fc2be,,
"Matara Cafe, Bistro ve Okey Salonu",,"https://www.google.com/maps/place/Matara+Cafe,+Bistro+ve+Okey+Salonu/data=!4m2!3m1!1s0x14cab705e6ee8457:0x4585fa41c20f4640",,
Raifbey 1927,,https://www.google.com/maps/place/Raifbey+1927/data=!4m2!3m1!1s0x14cab7bc3ea3f98d:0x8abc8f34d99458ab,,
Mekân Cafe Mekandayız,,https://www.google.com/maps/place/Mek%C3%A2n+Cafe+Mekanday%C4%B1z/data=!4m2!3m1!1s0x14cab9d6c1e80279:0xc257619c3ae1bea4,,
Çaycım Cafe,,https://www.google.com/maps/place/%C3%87ayc%C4%B1m+Cafe/data=!4m2!3m1!1s0x14cab7f900e664c3:0xbd40600ca5d408b3,,
Holiday Shisha & Cafe,,https://www.google.com/maps/place/Holiday+Shisha+%26+Cafe/data=!4m2!3m1!1s0x14cab66549eabb7f:0x459dbaba9eb43b12,,
Levent Terrace Cafe & Nargile,,https://www.google.com/maps/place/Levent+Terrace+Cafe+%26+Nargile/data=!4m2!3m1!1s0x14cab664e0678c0d:0xb67022545f5c24f,,
arvav mekan (T’QESSO),,https://www.google.com/maps/place/arvav+mekan+(T%E2%80%99QESSO)/data=!4m2!3m1!1s0x14cab7855b09b97f:0xd46866eb060025bc,,
Saklı Bahçe Cafe & Nargile Oyun Salonu,,https://www.google.com/maps/place/Sakl%C4%B1+Bah%C3%A7e+Cafe+%26+Nargile+Oyun+Salonu/data=!4m2!3m1!1s0x14cab7a37a080d51:0x537812d34b513120,,
Goblin Oyun Kulübü,,https://www.google.com/maps/place/Goblin+Oyun+Kul%C3%BCb%C3%BC/data=!4m2!3m1!1s0x14cab8667b05b979:0xcfe94a1152347664,,
6 Üstü Cafe,,https://www.google.com/maps/place/6+%C3%9Cst%C3%BC+Cafe/data=!4m2!3m1!1s0x14cab8676f90f34b:0xa8b51ecc1f5b7c04,,
Fun Crown ''Play a Game'' - Kadıköy PlayStation Cafe,,https://www.google.com/maps/place/Fun+Crown+''Play+a+Game''+-+Kad%C4%B1k%C3%B6y+PlayStation+Cafe/data=!4m2!3m1!1s0x14cab86f504a36e1:0xda63bec862d159c9,,
Beşiktaş Fennos Cafe Nargile Okey Salonu,,https://www.google.com/maps/place/Be%C5%9Fikta%C5%9F+Fennos+Cafe+Nargile+Okey+Salonu/data=!4m2!3m1!1s0x14cab7a23be23223:0x857066c3a2d59382,,
Ağa Bilardo Cafe,,https://www.google.com/maps/place/A%C4%9Fa+Bilardo+Cafe/data=!4m2!3m1!1s0x14cab761f534e557:0x29cd4e0bca710f71,,
ARCADE TİGERS ENTERTAİNMENT CENTER,,https://www.google.com/maps/place/ARCADE+T%C4%B0GERS+ENTERTA%C4%B0NMENT+CENTER/data=!4m2!3m1!1s0x14cab724db32cbb9:0x4b228ffa3a4fdbb4,,
Betat İkinci Kat,,https://www.google.com/maps/place/Betat+%C4%B0kinci+Kat/data=!4m2!3m1!1s0x14cab763f16ad2bf:0xd65ee7ad3009ddaf,,
Kafka Kafe,,https://www.google.com/maps/place/Kafka+Kafe/data=!4m2!3m1!1s0x14cab76041d57d01:0xc846fe69d3192f42,,
Haura Nargile Cafe,,https://www.google.com/maps/place/Haura+Nargile+Cafe/data=!4m2!3m1!1s0x14cab7c83d79ec4b:0xc823b0f2945879d3,,
The Game for Big Kids,,https://www.google.com/maps/place/The+Game+for+Big+Kids/data=!4m2!3m1!1s0x14cab6518e12e29d:0x22ccb495c943205b,,
Pegasus Oyuncak,,https://www.google.com/maps/place/Pegasus+Oyuncak/data=!4m2!3m1!1s0x14cab7a04b3b174f:0xdf23515000b603b,,
kardeş payı,,https://www.google.com/maps/place/karde%C5%9F+pay%C4%B1/data=!4m2!3m1!1s0x14cab7c418b2af2f:0x6b1355869c5a3320,,
