Başlık,Not,URL,Etiketler,Yorum
,,,,
Bahçeköy Su Kemeri,,https://www.google.com/maps/place/Bah%C3%A7ek%C3%B6y+Su+Kemeri/data=!4m2!3m1!1s0x14cab4d16df6365f:0x6aa98882fd12a165,,
Renkli Merdivenler,,https://www.google.com/maps/place/Renkli+Merdivenler/data=!4m2!3m1!1s0x14cabbd8ce82b20b:0x1b59fea026b58da6,,
Fener Rum Kız Lisesi,,https://www.google.com/maps/place/Fener+Rum+K%C4%B1z+Lisesi/data=!4m2!3m1!1s0x14cabb5a91c21fb7:0xc8ecae3252124486,,
Mural stairs,,https://www.google.com/maps/place/Mural+stairs/data=!4m2!3m1!1s0x14cab91f0bb0c13d:0xb2dea96601314c61,,
Saint Peter ve Saint Paul Kilisesi,,https://www.google.com/maps/place/Saint+Peter+ve+Saint+Paul+Kilisesi/data=!4m2!3m1!1s0x14cab9e635382c13:0xd313f36c39bc77e1,,
Mısır Çarşısı,,https://www.google.com/maps/place/M%C4%B1s%C4%B1r+%C3%87ar%C5%9F%C4%B1s%C4%B1/data=!4m2!3m1!1s0x14cab9eb6f7cdb9f:0x44bbef8d97b0505d,,
Kız Kulesi,,https://www.google.com/maps/place/K%C4%B1z+Kulesi/data=!4m2!3m1!1s0x14cab82bea99445f:0x6ed7f4baceb4476c,,
Sütçüoğlu Apartmanı,,https://www.google.com/maps/place/S%C3%BCt%C3%A7%C3%BCo%C4%9Flu+Apartman%C4%B1/data=!4m2!3m1!1s0x14cab7e8edca0d2b:0x9e8937bcf3d49af0,,
Tüpraş Stadyumu,,https://www.google.com/maps/place/T%C3%BCpra%C5%9F+Stadyumu/data=!4m2!3m1!1s0x14cab776f9715eeb:0x2cef984e492e1bd8,,
Balat Renkli Evler,,https://www.google.com/maps/place/Balat+Renkli+Evler/data=!4m2!3m1!1s0x14cabb7e926929b5:0xc62a0bca54b6f7b0,,
Köçeoğlu Hamamı Kemer Ve Duvar Kalıntısı,,https://www.google.com/maps/place/K%C3%B6%C3%A7eo%C4%9Flu+Hamam%C4%B1+Kemer+Ve+Duvar+Kal%C4%B1nt%C4%B1s%C4%B1/data=!4m2!3m1!1s0x14cab8642a7bd907:0xf9c92411eaca2b51,,
Yoros Kalesi,,https://www.google.com/maps/place/Yoros+Kalesi/data=!4m2!3m1!1s0x409fdfab49affaf3:0xfc826f99677e5ae6,,
Taksim Tünel,,https://www.google.com/maps/place/Taksim+T%C3%BCnel/data=!4m2!3m1!1s0x14cab76574465ae1:0x4b22b02af9af2481,,
Kanuni Sultan Süleyman Köprüsü,,https://www.google.com/maps/place/Kanuni+Sultan+S%C3%BCleyman+K%C3%B6pr%C3%BCs%C3%BC/data=!4m2!3m1!1s0x14caa3d9058bbbc7:0xcd2c1520c7cb78a1,,
Sancaklar Camii,,https://www.google.com/maps/place/Sancaklar+Camii/data=!4m2!3m1!1s0x14b55972e9eb4995:0x2261baf2014c02bd,,
Heybeliada Ruhban Okulu.,,https://www.google.com/maps/place/Heybeliada+Ruhban+Okulu./data=!4m2!3m1!1s0x14cac1acf22d3669:0x258f628f7386d314,,
Marmara Üniversitesi İlahiyat Fakültesi Örümcek Cami,,https://www.google.com/maps/place/Marmara+%C3%9Cniversitesi+%C4%B0lahiyat+Fak%C3%BCltesi+%C3%96r%C3%BCmcek+Cami/data=!4m2!3m1!1s0x14cab782b1eb207f:0x487fa119f067e08d,,
Beylerbeyi Sarayı,,https://www.google.com/maps/place/Beylerbeyi+Saray%C4%B1/data=!4m2!3m1!1s0x14cab7da02210c0f:0xaa4ea6c2e70ee70a,,
Mağlova Su Kemeri,,https://www.google.com/maps/place/Ma%C4%9Flova+Su+Kemeri/data=!4m2!3m1!1s0x14cab22574fedc21:0xbc210d9afa2a7763,,
Valens Su Kemeri (Bozdoğan Kemeri),,https://www.google.com/maps/place/Valens+Su+Kemeri+(Bozdo%C4%9Fan+Kemeri)/data=!4m2!3m1!1s0x14cab9a7c30f71ed:0x35ba713c95477a7a,,
Eyüp Mezarlığı,,https://www.google.com/maps/place/Ey%C3%BCp+Mezarl%C4%B1%C4%9F%C4%B1/data=!4m2!3m1!1s0x14cab0a312486111:0xdbe4b79592d01a24,,
Eyüp Sultan Camii,,https://www.google.com/maps/place/Ey%C3%BCp+Sultan+Camii/data=!4m2!3m1!1s0x14cab1d021adf417:0xba3a3fdfdbb5f5d,,
Beyoğlu Meryem Ana Rum Ortodoks Kilisesi,,https://www.google.com/maps/place/Beyo%C4%9Flu+Meryem+Ana+Rum+Ortodoks+Kilisesi/data=!4m2!3m1!1s0x14cab75fddfcc8d9:0x1613a2df612c9999,,
Eski Fransız Yetimhanesi,,https://www.google.com/maps/place/Eski+Frans%C4%B1z+Yetimhanesi/data=!4m2!3m1!1s0x14cab9df09371d5f:0xc2111fbb9c2576f0,,
Taksim Camii,,https://www.google.com/maps/place/Taksim+Camii/data=!4m2!3m1!1s0x14cab7644de4d065:0x3f381aaa44c96e77,,
Kamondo Merdivenleri,,https://www.google.com/maps/place/Kamondo+Merdivenleri/data=!4m2!3m1!1s0x14cab9eb8a64dfbb:0x8f785a3e73c35f47,,
Arap Camii,,https://www.google.com/maps/place/Arap+Camii/data=!4m2!3m1!1s0x14cab9e602d7ace5:0x7bc558f92c3a836c,,
Sent Antuan Kilisesi,,https://www.google.com/maps/place/Sent+Antuan+Kilisesi/data=!4m2!3m1!1s0x14cab7600647761f:0x87ccd464f889e39,,
Galata Kulesi,,https://www.google.com/maps/place/Galata+Kulesi/data=!4m2!3m1!1s0x14cab9e7a7777c43:0x4c76cf3dcc8b330b,,
"Çadır Köşk, Beltur",,"https://www.google.com/maps/place/%C3%87ad%C4%B1r+K%C3%B6%C5%9Fk,+Beltur/data=!4m2!3m1!1s0x14cab70076f2479f:0xea082938878e9f6c",,
Çemberlitaş Sütunu,,https://www.google.com/maps/place/%C3%87emberlita%C5%9F+S%C3%BCtunu/data=!4m2!3m1!1s0x14cab996c4ddb349:0xf345125097c7b39b,,
Sultanahmet Camii,,https://www.google.com/maps/place/Sultanahmet+Camii/data=!4m2!3m1!1s0x14cab9bd6570f4e1:0xe52df7368a157ca4,,
Alman Çeşmesi,,https://www.google.com/maps/place/Alman+%C3%87e%C5%9Fmesi/data=!4m2!3m1!1s0x14cab9bd8fdbe55f:0x334ea51437908a99,,
Cağaloğlu Hamamı,,https://www.google.com/maps/place/Ca%C4%9Falo%C4%9Flu+Hamam%C4%B1/data=!4m2!3m1!1s0x14cab995891a495d:0xaf74079aa7195acc,,
Hürrem Sultan Hamamı,,https://www.google.com/maps/place/H%C3%BCrrem+Sultan+Hamam%C4%B1/data=!4m2!3m1!1s0x14cab9bdb5a68569:0xad5ddcfa6736bab5,,
Yeni Cami,,https://www.google.com/maps/place/Yeni+Cami/data=!4m2!3m1!1s0x14cab9eba0aba48d:0x653381c9eafc239c,,
Süleymaniye Camii,,https://www.google.com/maps/place/S%C3%BCleymaniye+Camii/data=!4m2!3m1!1s0x14cab98d3ac01031:0x8accf5042157cfed,,
Topkapı Sarayı Müzesi,,https://www.google.com/maps/place/Topkap%C4%B1+Saray%C4%B1+M%C3%BCzesi/data=!4m2!3m1!1s0x14cab9b8afa5f833:0x15aa1943c3015300,,
Fatih Camii,,https://www.google.com/maps/place/Fatih+Camii/data=!4m2!3m1!1s0x14caba21ca2b1031:0xbcb8746d3c867663,,
Yerebatan Sarnıcı,,https://www.google.com/maps/place/Yerebatan+Sarn%C4%B1c%C4%B1/data=!4m2!3m1!1s0x14cab9bde0c66ac9:0x60c02fe1ee6d8471,,
Ayasofya Camii,,https://www.google.com/maps/place/Ayasofya+Camii/data=!4m2!3m1!1s0x14cab9be92011c27:0x236e6f6f37444fae,,
Yıldız Sarayı,,https://www.google.com/maps/place/Y%C4%B1ld%C4%B1z+Saray%C4%B1/data=!4m2!3m1!1s0x14cab7bd125beb5f:0x7af33e6b5e9ecc69,,
Dolmabahçe Sarayı,,https://www.google.com/maps/place/Dolmabah%C3%A7e+Saray%C4%B1/data=!4m2!3m1!1s0x14cab7761a3b7de3:0xdcd33e38cf3b830b,,
"Malta Köşkü, Beltur",,"https://www.google.com/maps/place/Malta+K%C3%B6%C5%9Fk%C3%BC,+Beltur/data=!4m2!3m1!1s0x14cab7b0c3175223:0xaf145e7e8d6b11d6",,
Çırağan Sarayı,,https://www.google.com/maps/place/%C3%87%C4%B1ra%C4%9Fan+Saray%C4%B1/data=!4m2!3m1!1s0x14cab7bc74ac825b:0x2c0d68b195b12d34,,
Büyük Mecidiye Camii,,https://www.google.com/maps/place/B%C3%BCy%C3%BCk+Mecidiye+Camii/data=!4m2!3m1!1s0x14cab7c8e42887ad:0xfd73f2a29eafc8bc,,
