Başlık,Not,URL,Etiketler,Yorum
,,,,
Merdivenli Yokuş Evleri,,https://www.google.com/maps/place/Merdivenli+Yoku%C5%9F+Evleri/data=!4m2!3m1!1s0x14cabbc1451c00cd:0x822d38ac8bdea572,,
Kadıköy Boğa Heykeli,,https://www.google.com/maps/place/Kad%C4%B1k%C3%B6y+Bo%C4%9Fa+Heykeli/data=!4m2!3m1!1s0x14cab9f0b8afbb1f:0x703cd0993370cf84,,
Bakırköy Cumhuriyet Meydanı,,https://www.google.com/maps/place/Bak%C4%B1rk%C3%B6y+Cumhuriyet+Meydan%C4%B1/data=!4m2!3m1!1s0x14cabd8ae3016eed:0x7ef9ffe0dcd1163b,,
Fransız Sokağı,,https://www.google.com/maps/place/Frans%C4%B1z+Soka%C4%9F%C4%B1/data=!4m2!3m1!1s0x14cab7b5ff37823b:0x409e7f7e9c29c25b,,
İstiklal Cd.,,https://www.google.com/maps/place/%C4%B0stiklal+Cd./data=!4m2!3m1!1s0x14cab761b76c7cf7:0xd59a76ee7cacf701,,
Sultanahmet Meydanı,,https://www.google.com/maps/place/Sultanahmet+Meydan%C4%B1/data=!4m2!3m1!1s0x14cab9ed7c4b79d9:0x5ee51f40833177f0,,
Galata Köprüsü,,https://www.google.com/maps/place/Galata+K%C3%B6pr%C3%BCs%C3%BC/data=!4m2!3m1!1s0x14cab9ebc160871b:0x9500f83c603869a0,,
Haliç Metro Köprüsü,,https://www.google.com/maps/place/Hali%C3%A7+Metro+K%C3%B6pr%C3%BCs%C3%BC/data=!4m2!3m1!1s0x14cab9ee6af2d343:0xa94e87500a65f9dd,,
Taksim Meydanı,,https://www.google.com/maps/place/Taksim+Meydan%C4%B1/data=!4m2!3m1!1s0x14cab7650656bd63:0x8ca058b28c20b6c3,,
Atatürk Köprüsü,,https://www.google.com/maps/place/Atat%C3%BCrk+K%C3%B6pr%C3%BCs%C3%BC/data=!4m2!3m1!1s0x14cab9efc3cd9651:0x70126ba39ecd303c,,
