Best places to work in Istanbul

Başlık,Not,URL,Etiketler,Yorum
Bulgur Palas,,https://www.google.com/maps/place/Bulgur+Palas/data=!4m2!3m1!1s0x14caba2db4efe96f:0xc1c1dd31782f7f50,,
Wandervogel,,https://www.google.com/maps/place/Wandervogel/data=!4m2!3m1!1s0x14cab9959313a42b:0xefb8779655115dea,,
Böcek,,https://www.google.com/maps/place/B%C3%B6cek/data=!4m2!3m1!1s0x14cab86121da8713:0x4af21fa8b6163e73,,
Kahve Dünyası - Levent,,https://www.google.com/maps/place/Kahve+D%C3%BCnyas%C4%B1+-+Levent/data=!4m2!3m1!1s0x14cab669fe1cd6df:0xb58d2d16347bc00a,,
Mikel Coffee,,https://www.google.com/maps/place/Mikel+Coffee/data=!4m2!3m1!1s0x14cacb005c2acdf9:0x59afe9b7486109ff,,
Milk & Milk Cafe 4.levent,,https://www.google.com/maps/place/Milk+%26+Milk+Cafe+4.levent/data=!4m2!3m1!1s0x14cab788e9c3f73f:0x70a0c15d3fba2e1d,,
Gloria Jean's Coffees - Sarıyer Merkez Şubesi,,https://www.google.com/maps/place/Gloria+Jean's+Coffees+-+Sar%C4%B1yer+Merkez+%C5%9Eubesi/data=!4m2!3m1!1s0x409fdf1d9d47be33:0xcc952fc830b3e4d8,,
Polka Kafe,,https://www.google.com/maps/place/Polka+Kafe/data=!4m2!3m1!1s0x14cab8673e75ea47:0x44206831b4acfbcf,,
Eye Opia Moda,,https://www.google.com/maps/place/Eye+Opia+Moda/data=!4m2!3m1!1s0x14cab9eb2759f199:0xe586e8c2102e8ac4,,
The Coffee Factory,,https://www.google.com/maps/place/The+Coffee+Factory/data=!4m2!3m1!1s0x14cab900478266e7:0x5e9e6424e5187690,,
Partikül Specialty Coffee,,https://www.google.com/maps/place/Partik%C3%BCl+Specialty+Coffee/data=!4m2!3m1!1s0x14cab7c491cd8ad7:0x96acf633a73ab56c,,
Story Coffee & Roastery,,https://www.google.com/maps/place/Story+Coffee+%26+Roastery/data=!4m2!3m1!1s0x14cab94a383dfe41:0x5bf1b7085939f875,,
MOC Bomonti,,https://www.google.com/maps/place/MOC+Bomonti/data=!4m2!3m1!1s0x14cab716d6130df7:0x782db52ded616f56,,
But First Coffee,,https://www.google.com/maps/place/But+First+Coffee/data=!4m2!3m1!1s0x14cab716d63c492d:0xe2eb38c4abadb6c4,,
Fatih Belediyesi Fatih Merkez Kütüphanesi,,https://www.google.com/maps/place/Fatih+Belediyesi+Fatih+Merkez+K%C3%BCt%C3%BCphanesi/data=!4m2!3m1!1s0x14cc16f5a6399dff:0x8ef18e24e78b154d,,
Espressolab Maslak Kapital,,https://www.google.com/maps/place/Espressolab+Maslak+Kapital/data=!4m2!3m1!1s0x14cab5e42e4b4991:0x49732d01553d310f,,
KADIKÖY İSKELE KÜTÜPHANESİ,,https://www.google.com/maps/place/KADIK%C3%96Y+%C4%B0SKELE+K%C3%9CT%C3%9CPHANES%C4%B0/data=!4m2!3m1!1s0x14cab98b6428a711:0x694e60e8dcdbadc1,,
Turhan Selçuk Kültür Evi,,https://www.google.com/maps/place/Turhan+Sel%C3%A7uk+K%C3%BClt%C3%BCr+Evi/data=!4m2!3m1!1s0x14cab9003d0206b5:0xbad2510b53077cdd,,
Kaffee Schütz Beşiktaş,,https://www.google.com/maps/place/Kaffee+Sch%C3%BCtz+Be%C5%9Fikta%C5%9F/data=!4m2!3m1!1s0x14cab7006c8f70b5:0x733e5f97202433c9,,
İTÜ Ratip Berker Kütüphanesi,,https://www.google.com/maps/place/%C4%B0T%C3%9C+Ratip+Berker+K%C3%BCt%C3%BCphanesi/data=!4m2!3m1!1s0x14cab7a86116005b:0xb22d3badf3944f52,,
Nail Kitabevi & Cafe,,https://www.google.com/maps/place/Nail+Kitabevi+%26+Cafe/data=!4m2!3m1!1s0x14cab7e9ddc16185:0xff2802d494e50161,,
Cream&Sugar,,https://www.google.com/maps/place/Cream%26Sugar/data=!4m2!3m1!1s0x14cab76aaf500d3f:0x455f49adf0b0db30,,
Reset Coffee Bakery,,https://www.google.com/maps/place/Reset+Coffee+Bakery/data=!4m2!3m1!1s0x14cac99508724197:0x42814a47b32f50dd,,
tio space by Tio Bilişim A.Ş.,,https://www.google.com/maps/place/tio+space+by+Tio+Bili%C5%9Fim+A.%C5%9E./data=!4m2!3m1!1s0x14cab9e0e8ccb411:0x2311cf0424fa5ead,,
İstanbul Kitap Kahve,,https://www.google.com/maps/place/%C4%B0stanbul+Kitap+Kahve/data=!4m2!3m1!1s0x14cabb5d993eb671:0xbc132a51769bb86b,,
